"","pub_date","main","V2"
"60","1989-01-03","Rain in Pennsylvania Found Most Acidic",0
"61","1989-01-03","Correction",1
"62","1989-01-03","Phoebe H. Stein, 75, Health-Care Advocate",0
"63","1989-01-03","Business Week's Move",0
"64","1989-01-03","Panel Approves Evacuation Plan For Area Around Seabrook Plant",0.125
"65","1989-01-03","PATTERNS",0
"66","1989-01-03","Fat-Cell Protein Is Implicated in Obesity",-0.25
"67","1989-01-03","A Higher Gas Tax Isn't Courage, but Arrogance; But Not Diesel Fuel",-0.125
"68","1989-01-03","Working Woman",0
"69","1989-01-03","'Computer Virus' Joins the Lexicon",0.25
"70","1989-01-03","Man, 88, Held in Slaying of 2",0.333333333333333
"71","1989-01-03","Wall St. Finds Life After Crash",0
"72","1989-01-03","'How's He Doin'?'",0
"73","1989-01-03","Market Place; Milder Rise Seen For 1989 Profits",0.166666666666667
"74","1989-01-03","Financial Videos From Dollar Dry Dock",0
"75","1989-01-03","Fatal Stabbing Of a Couple Is a Mystery",-0.5
"76","1989-01-04","Topics of The Times; Not Bitter in New Hampshire",-0.2
"77","1989-01-04","Debt Issue in Mexico",0
"78","1989-01-04","When Dividends Are Bad News",-0.333333333333333
"79","1989-01-04","Shultz and Regan Subpoenaed by North",0
"80","1989-01-04","Seton Hall Topples Georgetown",-0.25
"81","1989-01-04","Jefferies Accuses GAF Of Carbide Stock Role",-0.166666666666667
"82","1989-01-04","Reagan to Undergo Surgery For Finger Ailment Saturday",-0.166666666666667
"83","1989-01-04","Europeans to Offer Plan to Ease Trade Dispute With U.S.",0.166666666666667
"84","1989-01-04","How to Recognize Danger Signs of Depression; Enough Stigma",-0.5
"85","1989-01-04","Holly Farms To Test Ruling",0
"86","1989-01-04","Bomb Scares Slow or Disrupt Passenger Flights in Europe",-0.428571428571429
"87","1989-01-04","Chief Executive Picked At Cyclops Industries",-0.2
"88","1989-01-04","The First Day on the Job for the City's First Black District Attorney",0
"89","1989-01-04","EXECUTIVE CHANGES",-0.5
"90","1989-01-04","COMPANY BRIEFS",0.5
"91","1989-01-04","CBS Records to Buy Tree, Ending an Era in Nashville",0.142857142857143
"92","1989-01-04","Saharan Rebels Leave For Talks in Morocco",-0.2
"93","1989-01-04","Izvestia Opens Pages to 'Parasites'",0
"94","1989-01-04","Police Assault On Drugs Moves Into 3d Borough",-0.2
"95","1989-01-04","Apogee Enterprises Inc reports earnings for Qtr to Nov 26",0
"96","1989-01-04","Torture Called Routine For Turkish Prisoners",-0.2
"97","1989-01-04","About Education",1
"98","1989-01-04","Review/Television; 'Banking Basics,' Including a Pitfall",0.2
"99","1989-01-04","Homeless New York Families to Get U.S. Rent Subsidies",0
"100","1989-01-04","BIG SOVIET PULLOUT FROM AFGHANISTAN IS SEEN RESUMING",0
"101","1989-01-05","Ball for Cleaner Air",0.333333333333333
"102","1989-01-05","Regina Reports $16.8 Million Loss",-0.25
"103","1989-01-05","Tracing the Roots",-0.5
"104","1989-01-05","BRIEFS",0
"105","1989-01-05","Quotation of the Day",0
"106","1989-01-05","Whalers Win in Overtime; Dineen Assists on 4 Goals",0.166666666666667
"107","1989-01-05","Hoare Govett Sets Cutback",0
"108","1989-01-05","Recycling Is a Far Better Solution Than Navy Yard Incinerator",0.285714285714286
"109","1989-01-05","Not Getting Sympathy, Officials Hope for Raise",0
"110","1989-01-05","Busy Schedule Ahead For Fly-Fishermen",0
"111","1989-01-05","Cut Nuclear Weapons, Don't Add to Them",-0.2
"112","1989-01-05","Review/Television; Dinosaurs: Faster, Smarter, Warmer",0
"113","1989-01-05","Bonn Finds No Libya Tie at Company",0.2
"114","1989-01-05","Lauder Leaves New York City To Announce Run for Mayor",-0.125
"115","1989-01-05","Pay Raises Won't Improve Our Lawmakers; In the Public Interest",0.285714285714286
"116","1989-01-05","Thatcher at Rites for Crash Victims",0
"117","1989-01-05","Metro Matters; A Time to Raise And a Time To Deny a Raise",-0.428571428571429
"118","1989-01-05","Albany Resumes Year-Round Cycle",0
"119","1989-01-05","Excerpts From Cuomo Address: Challenge of Difficult Times",-0.333333333333333
"120","1989-01-05","Illinois May End Premarital AIDS Testing",0.166666666666667
"121","1989-01-05","Debenture Offering From Fannie Mae",0.25
"122","1989-01-05","Accounts",1
"123","1989-01-05","TV Notes",0
"124","1989-01-05","Lawyers Slug It Out In Tyson-Cayton Case",-0.25
"125","1989-01-05","Thornburgh Meets On Trial of North",0.25
"126","1989-01-06","U.S. ASKS SOVIET AID IN PRESSING LIBYA ON CHEMICAL ARMS",0
"127","1989-01-06","This Is the Team That Embry Built",0
"128","1989-01-06","Thorn-EMI Gets SBK for $337 Million",-0.25
"129","1989-01-06","Military Bases Affected by Commission's Recommendations",0.2
"130","1989-01-06","American Recreation Centers Inc reports earnings for Qtr to Nov 23",0.125
"131","1989-01-06","Big Bear Inc reports earnings for 13wk to Nov 26",0
"132","1989-01-06","Review/Piano; Kalichstein in Recital",0
"133","1989-01-06","Judge Rules Economic Panel Can't Hold Meetings in Secret",0.125
"134","1989-01-06","Agency Backs Medicare Cut at Teaching Hospitals",0.166666666666667
"135","1989-01-06","Armenians Raise a Glass to All Those Who Cared",0
"136","1989-01-06","Washington Mayor Says He Took Drug Tests and Released Results",0
"137","1989-01-06","Discrimination Denied In AIDS-Drug Tests",-0.5
"138","1989-01-06","3 Miners Killed in Kentucky Cave-In",-0.25
"139","1989-01-06","The Right Goal",0.5
"140","1989-01-06","Bonn Clears Company of Libyan Role",0.4
"141","1989-01-06","FOR STALIN PURGES, YET MORE CRITICISM",-0.25
"142","1989-01-06","Roosevelt I. Landmarks Are New York History",0
"143","1989-01-06","Samuel T. Carter 3d, Author, Is Dead at 84",0
"144","1989-01-06","John Tower Has Malignant Polyp Removed",-0.2
"145","1989-01-06","Recognition Spurns Prospect Group",0
"146","1989-01-06","Auctions",0
"147","1989-01-06","Russian at U.N. Says Moscow Had Urged Restraint by the U.S.",0
"148","1989-01-06","Pop/Jazz; Recalling A Pop Artist And a Friend",0.2
"149","1989-01-06","A Last Hurrah",0
"150","1989-01-06","Auto Sales in '88 Set 2d-Highest Mark Ever",0
"151","1989-01-07","Bridge",0
"152","1989-01-07","An Opera Based on O'Neill",0
"153","1989-01-07","Parking Rules",0
"154","1989-01-07","Inmates Interview Author About Dr. King",0.25
"155","1989-01-07","President Enters a Hospital For Surgery on Hand Today",0.166666666666667
"156","1989-01-07","Bengals Accused of Pulling a Fast One  No-Huddle, Hurry-Up Offense Angers Opponents",-0.4
"157","1989-01-07","A Leader Who Took Japan to War, to Surrender, and Finally to Peace",0
"158","1989-01-07","Bush Aides Say Tower Will Still Be Nominated",0.428571428571429
"159","1989-01-07","Attendants Forced Cancellation of Flight",-0.25
"160","1989-01-07","Chip Industry Is Planning A Health Study at Factories",0.166666666666667
"161","1989-01-07","Social Security Reserves",0.333333333333333
"162","1989-01-07","Liability Cap in Crash May Not Apply to All",-0.2
"163","1989-01-07","Your Money; A Need to Gauge One's Cash Flow",-0.166666666666667
"164","1989-01-07","Autoclave Engineers reports earnings for Qtr to Nov 30",0
"165","1989-01-07","On the 12th Day of Christmas",0
"166","1989-01-07","Quotation of the Day",0
"167","1989-01-07","A Witness Says Nussbaum Hit And Flung Lisa",0
"168","1989-01-07","About New York; Along Avenue J, Cowpokes Bust Bucking Broncos",0
"169","1989-01-07","The Missing Conscience Of the 20th Century",0
"170","1989-01-07","U.S. SPURNS SAUDIS ON LIBYA MEDIATION",0.25
"171","1989-01-07","George M. L. La Branche, Stock Trader, 89",0
"172","1989-01-07","Patents; Method to Repair Teeth Offers Less Discomfort",0.142857142857143
"173","1989-01-07","PROTESTS FOLLOW HANGING OF 2 SIKHS",-0.5
"174","1989-01-07","Review/Music; Distilling the Erotic in Weill",0
"175","1989-01-07","Arvia MacKaye Ege, A Poet, Is Dead at 86",-0.2
"176","1989-01-08","17 Reported Hanged in Iran Anti-Drug Campaign",-0.2
"177","1989-01-08","The Black Ascent In Union Politics",0.25
"178","1989-01-08","NONFICTION",0
"179","1989-01-08","Haitians Detained in Florida After Rescue From Sailboat",0
"180","1989-01-08","Bringing Superconductivity Down to Earth",0
"181","1989-01-08","SWIM IN LAKE ERIE, SEE STORMS IN DULUTH",-0.166666666666667
"182","1989-01-08","Deer Problem At Chemical Plant",-0.25
"183","1989-01-08","Burke's Return Benefits Devils",0.25
"184","1989-01-08","Anne Kingsbury to Wed in September",0
"185","1989-01-08","The Name of the Game",0.5
"186","1989-01-08","Dazzling Display For Eiffel Tower",0.25
"187","1989-01-08","'MR. STOCK MARKET': Li Yining; Selling China on a 'Public' Privatization",0
"188","1989-01-08","PAPERBACK BEST SELLERS: January 8, 1989",0.25
"189","1989-01-08","Urban Woes Add to Burdens of Legislators",-0.4
"190","1989-01-08","Judges Who Decide Social Security Claims Say Agency Goads Them to Deny Benefits",0.1
"191","1989-01-08","Answering The Mail",0
"192","1989-01-08","RIVER BLINDNESS: CONQUERING AN ANCIENT SCOURGE",0
"193","1989-01-08","Reagan's Budget Gives Bush Some Room to Negotiate",0.333333333333333
"194","1989-01-08","WHAT DRIVES THE PISTONS",-0.5
"195","1989-01-08","Old Scourge, New Cure",0.25
"196","1989-01-08","A Visit to the Late, Great City Of New York",0.166666666666667
"197","1989-01-08","Lucy Garry Engaged To William Flinn 3d",0.2
"198","1989-01-08","POSTINGS: 'Miracle' in Manhattan; Basement Multiplex",0.2
"199","1989-01-08","On Broadway, Spectacles Raise the Stakes",-0.25
"200","1989-01-08","Quick Peek, From Afar, at Libyan Plant",0
"201","1989-01-09","In Patrick, the Last Are First",0
"202","1989-01-09","Washington Talk: Briefing; Symington Tribute",0.2
"203","1989-01-09","The Ant and the Grasshopper; Why Is U.S. Prosperity Eroding? Japan's Lessons.",0
"204","1989-01-09","Sports World Specials; Different Kind of Net",0.166666666666667
"205","1989-01-09","Ejection Helps Put Bills Out",0
"206","1989-01-09","Long, Turbulent Run Of '42d Street' Arrives at Its Finale",-0.333333333333333
"207","1989-01-09","New, Mellower Qaddafi Now on Display in Libya",0.166666666666667
"208","1989-01-09","Jean Willes, Actress, 65",0.333333333333333
"209","1989-01-09","McLean Deal Seen Linked To Allegheny",0
"210","1989-01-09","Results Plus",0
"211","1989-01-09","Industry Partners Disagree On Favoring of Chain Stores",0.333333333333333
"212","1989-01-09","Sports of The Times; Ickey Shuffles To Miami",0
"213","1989-01-09","Cardinal of Detroit Orders 30 Parishes In the City to Close",0
"214","1989-01-09","Rozelle's Snap Decision Forces Bengals to Adapt Special to The New York Times",0.1
"215","1989-01-09","'Who Is a Jew' Remains A Volatile Issue in U.S.",-0.25
"216","1989-01-09","Topics of The Times; The Snooker Boom",0.25
"217","1989-01-09","Broken Hill to Acquire Pacific Resources",0.2
"218","1989-01-09","Chief of Canon U.S.A. Is Returning to Japan",0.2
"219","1989-01-09","Ketchum Fills Creative Post",0.5
"220","1989-01-09","Doctor Is Beaten to Death in Her Bellevue Office",-0.2
"221","1989-01-09","The Mideast, Bush's First Test",0
"222","1989-01-09","China Orders American Out",0
"223","1989-01-09","Triangle-Pechiney Insider Inquiry Widens",0
"224","1989-01-09","ARABS LINK CURBS ON GAS AND A-ARMS",0
"225","1989-01-09","Sports of The Times; Montana Was Never Better",0.2
"226","1989-01-10","Israelis Wound 23, Arabs Say",-0.25
"227","1989-01-10","Oliver North's Rights",0.333333333333333
"228","1989-01-10","Institute Plans to Revive 100-Inch Telescope",0.2
"229","1989-01-10","Park Electrochemical Corp reports earnings for Qtr to Nov 27",0
"230","1989-01-10","Free Cello Recital",0.333333333333333
"231","1989-01-10","Banponce Corp reports earnings for Qtr to Dec 31",0
"232","1989-01-10","Bridge",0
"233","1989-01-10","Residents of Welfare Hotel Seize City Office to Demand Permanent Housing",0
"234","1989-01-10","Dollar Rises Against Mark But Loses Ground to the Yen",-0.166666666666667
"235","1989-01-10","THE MEDIA BUSINESS: Advertising; Wells, Rich, Greene Adds Outsider on I.B.M.",0.111111111111111
"236","1989-01-10","Templeton Global Fund reports earnings for As of Dec 31",0
"237","1989-01-10","Lebanese Flee a Battle of Shiite Rivals",-0.6
"238","1989-01-10","Revived Air Express Picks Chief Executive",-0.166666666666667
"239","1989-01-10","Noxell Replaces Rabbits In Tests of Cosmetics",0
"240","1989-01-10","Herbert A. Seltzer, Administrator, 82",0
"241","1989-01-10","Steinberg Defense Disputes Account of Child's Death",-0.166666666666667
"242","1989-01-10","Effect of Abortion on Women Is Discounted",0.25
"243","1989-01-10","Sausalito Journal; Cholesterol Battle Is a Cause Many Take to Heart",0
"244","1989-01-10","In Beijing, a Bold New Proposal: End State Ownership of Industry",0.375
"245","1989-01-10","BUSINESS DIGEST",0
"246","1989-01-10","United Insurance Co of Amerca reports earnings for Qtr to Dec 31",0
"247","1989-01-10","Blasius Industries reports earnings for Qtr to Nov 30",0.166666666666667
"248","1989-01-10","Pentagon Expected To Bar Some Figures In the Fraud Inquiry",-0.333333333333333
"249","1989-01-10","Both Engines Apparently Failed On Airliner in Crash in England",-0.166666666666667
"250","1989-01-10","After the N.F.L. Huddles, Bengals Won't Have To",0
"251","1989-01-11","Marine's Death in Training Becomes a Harsh Lesson for Corps",-0.142857142857143
"252","1989-01-11","A Franc on the Cabernet Front",-0.333333333333333
"253","1989-01-11","'Romance' Extends Run",0
"254","1989-01-11","Data on Champion Is Given to Several",0
"255","1989-01-11","Thou Shalt Not Mess With the Global Environment",-0.2
"256","1989-01-11","Fuller, H B Co reports earnings for Qtr to Nov 30",0
"257","1989-01-11","Washington Federal Savings & Loan Assn Seattle reports earnings for Qtr to Dec 31",0.1
"258","1989-01-11","People",0
"259","1989-01-11","Redmen's Fortune Turns for The Better",0.25
"260","1989-01-11","Prosecutor Ends Inquiry on Leak In Brawley Case",-0.166666666666667
"261","1989-01-11","CASTRO SCORNING GORBACHEV MODEL",-0.25
"262","1989-01-11","Changes in '91 Tourney Upheld",0.333333333333333
"263","1989-01-11","Accounts",1
"264","1989-01-11","Coping With Twins",0
"265","1989-01-11","Volt Information Sciences Inc reports earnings for Qtr to Oct 28",0.125
"266","1989-01-11","Costs of Special Education",0.333333333333333
"267","1989-01-11","British List Bill On Steroid Use",0.2
"268","1989-01-11","Topics of The Times; Mr. Giuliani Departs",0
"269","1989-01-11","Soviets Say Afghan Deadline Is in Danger",-0.2
"270","1989-01-11","At the Nation's Table",0
"271","1989-01-11","About New York; From Underclass Come the Pros Of Produce",0.166666666666667
"272","1989-01-11","Mayor Is a Mad Driver",-0.333333333333333
"273","1989-01-11","Probation Dept. Had Lost Track of Suspect in Bellevue Slaying",-0.285714285714286
"274","1989-01-11","In Mayor Koch's Basement",0
"275","1989-01-11","Urban School District For Indians Is Urged",0
"276","1989-01-12","Quotation of the Day",0
"277","1989-01-12","Tale of a Soviet Cap and a Missing Flight Recorder",-0.166666666666667
"278","1989-01-12","Triton Lifts Stake In Fuqua to 9.9%",0
"279","1989-01-12","Bonn Relents Somewhat on U.S. Charges",-0.25
"280","1989-01-12","Transcript of Reagan's Farewell Address to American People",0
"281","1989-01-12","THE MEDIA BUSINESS: Advertising; A New Start In Direct Marketing",0
"282","1989-01-12","States Could Provide the Housing for Congress; Average Americans",0.333333333333333
"283","1989-01-12","Amtech Systems Inc reports earnings for Qtr to Sept 30",0
"284","1989-01-12","NBSC Corp reports earnings for Qtr to Dec 31",0
"285","1989-01-12","INSIDE",0
"286","1989-01-12","Kimball Pleads Guilty In a Surprise Decision",-0.2
"287","1989-01-12","Adtec Inc reports earnings for Qtr to Nov 30",0
"288","1989-01-12","Suffolk Video-Terminal Law Takes Effect Today",0.333333333333333
"289","1989-01-12","U.S. Suspends Teledyne Unit",-0.333333333333333
"290","1989-01-12","Latshaw Enterprises reports earnings for Qtr to Oct 29",0
"291","1989-01-12","Household to Quit Manufacturing",-0.333333333333333
"292","1989-01-12","BUSINESS DIGEST",0
"293","1989-01-12","Jorge Bolet Cancels",-0.333333333333333
"294","1989-01-12","Convention Tightens Scholarship Eligibility",0
"295","1989-01-12","Raden Haji Harsoyo, U.N. Commander, 63",0
"296","1989-01-12","Seton Hall Struggles Before Defeating Iona",-0.4
"297","1989-01-12","Text of the Declaration From the Paris Conference on Chemical Weapons",0.166666666666667
"298","1989-01-12","Ex-Professor Criticizes N.C. State",0
"299","1989-01-12","Shadow of Talent Bank May Fall on Koch's Bid",-0.142857142857143
"300","1989-01-12","Soviets Seen Retiring Warsaw Pact Chief",-0.166666666666667
"301","1989-01-13","N.A.A.C.P. Sues The Times Over Real-Estate Advertising",0
"302","1989-01-13","Excerpts From News Session by Bush, Watkins and Bennett",0
"303","1989-01-13","KEY RATES",0
"304","1989-01-13","U.S.-Greek Talks Recess",-0.333333333333333
"305","1989-01-13","Correction",1
"306","1989-01-13","Freedom Man, Mocked",0.333333333333333
"307","1989-01-13","Miami Upsets Kansas on Foul Shot With 2 Seconds to Play",-0.142857142857143
"308","1989-01-13","Opus Computer Products Inc reports earnings for Qtr to Sept 30",0.125
"309","1989-01-13","Chip Shots Put Bryant In Front In Classic",-0.166666666666667
"310","1989-01-13","Touring the Brooklyn Museum: An Art Explorer's Selection",0.333333333333333
"311","1989-01-13","Johnny Coles's Trumpet",0
"312","1989-01-13","Sorrow and Grace Mix As Pathologist Is Buried",-0.4
"313","1989-01-13","About Real Estate; In Rockaway, a Project on the Shore",0.2
"314","1989-01-13","Crazy Eddie Inc reports earnings for Qtr to Nov 27",-0.142857142857143
"315","1989-01-13","It's Business as Usual for Undaunted Capital Mayor",0
"316","1989-01-13","Retirement at McCann",-0.5
"317","1989-01-13","Angola Says Rebels Still Hold Border in Southeast",-0.142857142857143
"318","1989-01-13","For All the Talk of New Faces, the Cabinet Shapes Up as a Group of Government Pros",0
"319","1989-01-13","Reported AIDS Cases Increase in Connecticut",0.2
"320","1989-01-13","F.B.I. Is a Strange Hero for 'Mississippi Burning'",0
"321","1989-01-13","Restaurants",0
"322","1989-01-13","SEABROOK'S OWNER GETS TAKEOVER BID",-0.2
"323","1989-01-13","COMPANY BRIEFS",0.5
"324","1989-01-13","Washington Talk: Briefing; They Also Serve",-0.2
"325","1989-01-13","Luciano Berio Speaks of Virtuosos and Strings",0
"326","1989-01-14","Holiday on Monday",0
"327","1989-01-14","A Third Career for Admiral Watkins",0.25
"328","1989-01-14","Rockland Jury Hears Evidence In Murder Trial",-0.166666666666667
"329","1989-01-14","Rushdie Novel Brings Bomb Threats",-0.4
"330","1989-01-14","Crossword Is a True Anglo-American Creation; Ultimate Put-Down",0.166666666666667
"331","1989-01-14","Gordon Wright, 85, Riding Team Founder",-0.4
"332","1989-01-14","Miami, Saying It's Overburdened, Tells Nicaraguans to Stay Away",0
"333","1989-01-14","Winfield Says He'll Block Trade",-0.4
"334","1989-01-14","From Shop to Lab to Farm, Animal Rights Battle Is Felt",0
"335","1989-01-14","James E. Hurtubise, Race-Car Driver, 56",0
"336","1989-01-14","S.R.O. Inspection Ends in Arrest",0
"337","1989-01-14","'Black Book' Tells Tale of Jobs and Politics",0.166666666666667
"338","1989-01-14","RESULTS PLUS",0
"339","1989-01-14","N.C.A.A. to Look at North Carolina State",0.2
"340","1989-01-14","William Chaison, 44, Dancer and Teacher",0
"341","1989-01-14","Soviet Press Casts Doubt on Quake Survivor Story",-0.142857142857143
"342","1989-01-14","Asia Upset Over U.S. Quota Cuts",-0.5
"343","1989-01-14","Rochester Coach Appears In Line for Columbia Job",0
"344","1989-01-14","Susan Parmenter Wed in Scarsdale",0
"345","1989-01-14","Venality So Bald It's Now Intolerable",-0.25
"346","1989-01-14","Midseason Clash for Powerhouses",-0.333333333333333
"347","1989-01-14","Goetz Is Given One-Year Term On Gun Charge",-0.333333333333333
"348","1989-01-14","Crossword Is a True Anglo-American Creation; Better After 40",0.4
"349","1989-01-14","Traffic Controllers and U.S. Reach Tentative Agreement",0.2
"350","1989-01-14","Reviews/Pop; A Bassist Plays Free Jazz With Design",0.333333333333333
"351","1989-01-15","WINTER WARMTH",0.5
"352","1989-01-15","Day of the Insider: Members of the Bush Club",-0.2
"353","1989-01-15","Casino Funds To Aid Projects In Urban Areas",0.166666666666667
"354","1989-01-15","THE ROOT OF ALL SPORTS: $$$$",-0.5
"355","1989-01-15","A&W: Prospering By Avoiding The Big Boys A&W Avoids the Big Boys",-0.142857142857143
"356","1989-01-15","PERU'S TWIN CRISES RAISE COUP RUMORS",-0.333333333333333
"357","1989-01-15","THE CZARS NEVER HAD IS SO GOOD",0.333333333333333
"358","1989-01-15","INSIDE",0
"359","1989-01-15","George Bush's New World",0
"360","1989-01-15","SOUND",1
"361","1989-01-15","WHAT'S DOING IN: Katmandu",0
"362","1989-01-15","IN THE REGION: Connecticut and Westchester; Making It in Hartford as a Homesteader",0
"363","1989-01-15","THE REGION: The State's Rates; In Massachusetts, It's the Drivers' Turn",0
"364","1989-01-15","Patience and Then the Classical Clobbering",0.666666666666667
"365","1989-01-15","First Lady Hopes for Unglamorous Legacy",0.2
"366","1989-01-15","Jerry Lee Lewis Can Still Stir Things Up",0
"367","1989-01-15","Reagan Gives Final Goodbye, Ending Eight Years on Radio",0.25
"368","1989-01-15","The Hearty Breads Of Portugal's Hearths",0
"369","1989-01-15","Multiple Transplants Put Off",0
"370","1989-01-15","A NATION DIVIDED",-0.5
"371","1989-01-15","Comings and Goings",1
"372","1989-01-15","A Regular Guy Goes to the White House",0
"373","1989-01-15","Dr. Mark Lowitt Planning to Wed Dr. Nancy Ryan",0
"374","1989-01-15","Kathleen Christian to Marry Charles Francis Morgan Jr.",0.166666666666667
"375","1989-01-15","Pirates Solve Problems and UConn",-0.25
"376","1989-01-16","Treasury to Auction Only Bills This Week",0
"377","1989-01-16","Question Box",-1
"378","1989-01-16","Poland's Party to Meet; Solidarity Will Be a Topic",0.333333333333333
"379","1989-01-16","Changes in Libya Embargo",0
"380","1989-01-16","Rangers Come Back On 5 Goals",0.5
"381","1989-01-16","Miami Diagrams Its Big Play",0.25
"382","1989-01-16","Review/Television; 'Big Bird in Japan'",0
"383","1989-01-16","THE MEDIA BUSINESS: Advertising; 'Kids of Summer'",0.2
"384","1989-01-16","Sports World Specials; Grateful on the Bench",0.4
"385","1989-01-16","Stop the Todeskramer",0
"386","1989-01-16","COMPUTER DEPICTS THOUGHT PROCESS",0.25
"387","1989-01-16","Connecticut's Chickens, Home to Roost",0
"388","1989-01-16","THE MEDIA BUSINESS: Advertising; Lowe Marschalk's Spot For Regina Vinegar",-0.25
"389","1989-01-16","Carol Levinson Is Bride Of H. Richmond Fisher",0
"390","1989-01-16","Chinese Prison Emphasizes Rehabilitation; Release Wei Jingsheng",0
"391","1989-01-16","Trade Arbitration Plan",0.333333333333333
"392","1989-01-16","BUSINESS DIGEST",0
"393","1989-01-16","U.S. May Ease Curbs on Oil Companies in Libya",0.333333333333333
"394","1989-01-16","Tired of Cooling Their Heels, the Republicans Turn Up the Heat",-0.5
"395","1989-01-16","Review/Music; The Classical, Back and (Next Time) Forth",0.333333333333333
"396","1989-01-16","College Basketball; Pitt Overpowers Oklahoma",-0.2
"397","1989-01-16","French Leaders Act to Ease Damage of Insider Scandals",-0.142857142857143
"398","1989-01-16","As the Big Day Approaches, the Band Prepares",0.2
"399","1989-01-16","Snowboarding for Beginners",0
