"","pub_date","main","score"
"74","2015-01-03","N.F.L. Playoffs, as Seen From Below .500",0
"75","2015-01-03","Argentina Agrees to Extradite American Who Sought Asylum ",0.166666666666667
"76","2015-01-04","The Art World's Patron Satan",0.25
"77","2015-01-04","Ferran Adria Feeds the Hungry Mind",-0.2
"78","2015-01-04","Hotel Review: Hotel am Steinplatz in Berlin",0
"79","2015-01-04","Paid Notice: Deaths  LENT, PEARL CHARLOTTE",-0.166666666666667
"80","2015-01-04","Paid Notice: Deaths  LITVAK, SHEILA",-0.2
"81","2015-01-04","Brain Freeze",0
"82","2015-01-04","Ravens Top Steelers in Rough Rivalry Game That Upends Playoff Field",-0.111111111111111
"83","2015-01-04","After Killing of Gaza Teenager, Calls for Egyptian Inquiry",0
"84","2015-01-04","Paid Notice: Deaths  OLIVER, ANDREW S",-0.2
"85","2015-01-04","N.F.L. Coaches Now Reach for Next Level: College",0
"86","2015-01-04","Rebecca Hyman and Bradley Leader",0
"87","2015-01-04","Paid Notice: Deaths  CUOMO, MARIO M",-0.2
"88","2015-01-04","Paid Notice: Deaths  ROBBINS, JON PAUL",-0.166666666666667
"89","2015-01-04","Paid Notice: Deaths  ROBBINS, JON PAUL",-0.166666666666667
"90","2015-01-04","Paid Notice: Deaths  DIMITRIADIS, DR. GREGORY JAMES, PH.D.",-0.142857142857143
"91","2015-01-04","Maotanchang: Study City",-0.333333333333333
"92","2015-01-04","Greece: Police Arrest Fugitive Terrorist",-0.2
"93","2015-01-04","Emotions Flip From Note to Note",0
"94","2015-01-04","'Life Itself,' a Documentary",0
"95","2015-01-04","Events on Long Island for Jan. 4-10, 2015",0
"96","2015-01-04","A.F.C. Wild-Card Matchup: Cincinnati Bengals at Indianapolis Colts",0
"97","2015-01-04","'Downton Abbey' Recap: Do We Really Want Anything to Change? ",0
"98","2015-01-04","'Noontide Toll,' by Romesh Gunesekera",0
"99","2015-01-04","Inside the List",0
"100","2015-01-04","Paid Notice: Deaths  POPKIN, RUTH",-0.2
"101","2015-01-05","Still Studying, Inventing and Respecting After All These Years",0
"102","2015-01-05","Paid Notice: Deaths  JORMARK, BEULAH",-0.2
"103","2015-01-05","For Warhol, '15 Brings More Fame",0.333333333333333
"104","2015-01-05","Theft Case Set for Trial in Pennsylvania",-0.2
"105","2015-01-05","At 27, Balancing Her Social Life and a City&#8217;s Budget",0
"106","2015-01-05","What Changes Would You Like 2015 to Bring?",0.333333333333333
"107","2015-01-05","Daily Report: Connectivity at the Consumer Electronics Show",0
"108","2015-01-05","Game's Present Yields Floor to Its Past Before UConn Defeats St. John's",-0.125
"109","2015-01-05","Paid Notice: Deaths  CUOMO, MARIO M",-0.2
"110","2015-01-05","In Madrid, a New Restaurant Features a Rotating Cast of Regional Chefs",0
"111","2015-01-05","Treasury Auctions for the Week of Jan. 5",0
"112","2015-01-05"," Seeking Better Play, if Not a Win, the Depleted Knicks Get Neither",0
"113","2015-01-05","Despite Tumult Around Them, the Atlanta Hawks Have Risen to the Top",0
"114","2015-01-05","North Korea Denounces U.S. Over Its Latest Sanctions",-0.2
"115","2015-01-05","Several Close Calls, and One Loss, for Premier League Teams in F.A. Cup ",0
"116","2015-01-05","Club Med Shares Fall as Battle for Resort Operator Ends",-0.25
"117","2015-01-05","Heroin's Growing Scourge in Myanmar",0.25
"118","2015-01-05","Privilege of &#8216;Arrest Without Incident&#8217;",0.25
"119","2015-01-05","With the F.A. Cup, the Dream Endures, Though Reality Intrudes",0
"120","2015-01-05","At the International CES, the Internet of Things Hits Home",0
"121","2015-01-05","The Latest to Defect From Boehner: Cantor's Replacement",-0.2
"122","2015-01-05","Kaleidoscopic Naturalist Collages, a European Collective's American Debut and More From the Art Calendar",0.111111111111111
"123","2015-01-05","Allies Say Willingness to Talk to Anyone, Nearly His Undoing, Defines Scalise",0.111111111111111
"124","2015-01-05","Edward W. Brooke III, 95, Senate Pioneer, Is Dead",-0.166666666666667
"125","2015-01-05","The Benefits of Improv",1
"126","2015-01-06","Euro Countries Take Tough Line Toward Greece ",0
"127","2015-01-06","Lanvin",0
"128","2015-01-06","Gerrard Leads Liverpool in F.A. Cup",0.25
"129","2015-01-06","Feistier de Blasio Appears, Uncowed by Police Unions ",0
"130","2015-01-06","Boehner Facing Dissent and Defections in Vote to Remain Speaker of House",-0.25
"131","2015-01-06","Paid Notice: Deaths  MCGRATH, STEPHEN JOHN",-0.166666666666667
"132","2015-01-06"," Telling Stories in a Tennessee Coal Town",0
"133","2015-01-06","Bank of England Minutes Underscore Turbulence of Financial Crisis",-0.285714285714286
"134","2015-01-06","With New PAC, Jeb Bush Steps Closer to a Run",-0.142857142857143
"135","2015-01-06","How Nonemployed Americans Spend Their Weekdays: Men vs. Women",0
"136","2015-01-06","Weekly News Quiz | Jan. 1-5, 2015",0
"137","2015-01-06","Xiaomi Doubles Sales of Smartphones",-0.25
"138","2015-01-06","Paid Notice: Deaths  PALMERI, JOHN J.",-0.2
"139","2015-01-06","Paid Notice: Deaths  STADTMAUER, MORRIS",-0.2
"140","2015-01-06","In Memphis, Knicks Can Only Watch Marc Gasol and Wish He Were One of Them",0
"141","2015-01-06","For Freshman Lawmakers, Even the Small Stuff Is Cool",-0.166666666666667
"142","2015-01-06","Oil&#8217;s Fall Continues Into 2015, and Stock Markets Shudder",0
"143","2015-01-06","Scrutiny for Laxatives as a Childhood Remedy",0.25
"144","2015-01-06","Elite Lawyers Before the Justices",0.333333333333333
"145","2015-01-06","Stop Subsidizing Big Pharma",0
"146","2015-01-06","How to Get More Women to Join the Debate",-0.25
"147","2015-01-06","Paid Notice: Deaths  BERLIN, MIRIAM (""MIMI"") HASKELL",-0.142857142857143
"148","2015-01-06","Paid Notice: Deaths  HESTER, JAMES",-0.2
"149","2015-01-06","The Jeb Bush Optimism Challenge",0
"150","2015-01-06","Obama Invites Congressional Leaders to White House",0.166666666666667
"151","2015-01-07","Mexico: Clashes Kill Civilians",-0.5
"152","2015-01-07","Mike Tannenbaum, Former Jets G.M., Joins Dolphins",0.166666666666667
"153","2015-01-07","Paid Notice: Memorials  STADTMAUER, MORRIS THE YESHIVA UNIVERSITY FAMILY IS DEEPLY GRIEVED BY THE PASSING OF A CHERISHED ALUMNUS, MORRIS STADTMAUER, OF BLESSED MEMORY, WHO WAS A HIGHLY RESPECTED MEMBER OF THE JEWISH COMMUNITY. HEARTFELT CONDOLENCES ARE EXTENDED TO HIS BELOVED WIFE, MARILYN, AND THEIR CHILDREN: STERN COLLEGE FOR WOMEN BOARD OF OVERSEERS MEMBER, SERYL (AND CHARLES) KUSHNER, YU BENEFACTORS; GARY (AND DAVIDA) STADTMAUER, RICHARD (AND MARISA) STADTMAUER, ORA (AND IRA) BLOOM, THEIR GRANDCHILDREN AND GREAT GRANDCHILDREN. MAY THE ENTIRE STADTMAUER FAMILY BE COMFORTED AMONG THE MOURNERS OF ZION AND JERUSALEM. YESHIVA UNIVERSITY RICHARD M. JOEL, PRESIDENT NORMAN LAMM, PRESIDENT EMERITUS 1",0.0869565217391304
"154","2015-01-07","When Courtney Love Wears (and Serenades) Zac Posen",0
"155","2015-01-07","The 114th Congress Brushes Off the Snow and Gets Its Bearings",-0.2
"156","2015-01-07","AutoNation Says Its Sales Rose 12 Percent in December",0
"157","2015-01-07","Alan Dershowitz Denies Suit's Allegations of Sex With a Minor",-0.142857142857143
"158","2015-01-07","China Strives to Be on African Minds, and TV Sets",0
"159","2015-01-07","Paid Notice: Deaths  CUOMO, MARIO",-0.2
"160","2015-01-07","A Secret Hidden in the Mediterranean ",-0.333333333333333
"161","2015-01-07","Bob McDonnell, Ex-Governor of Virginia, Is Sentenced to 2 Years for Corruption",-0.285714285714286
"162","2015-01-07","John Travolta to Play Lawyer in O.J. Simpson Mini-Series",0.166666666666667
"163","2015-01-07","To Lift Market, Obama Will Lower Mortgage-Insurance Cost",-0.142857142857143
"164","2015-01-07","'Redshirting' Kindergarten-Age Kids Can Lead to Regrets",0.166666666666667
"165","2015-01-07","The Marches in Dresden ",0
"166","2015-01-07","Penelope Casas' Final Lessons",0
"167","2015-01-07","Massacre at Charlie Hebdo",-0.333333333333333
"168","2015-01-07","Paid Notice: Deaths  SANTOPOLO, JOHN",-0.2
"169","2015-01-07","New York Today: Slowdown City",0
"170","2015-01-07","Paid Notice: Deaths  CUOMO, MARIO",-0.2
"171","2015-01-07","Remembering the Lost",-0.5
"172","2015-01-07","On the Open Road, Signs of a Changing Cuba ",0.2
"173","2015-01-07","Yale Library Acquires Paula Vogel Archive",0
"174","2015-01-07","First Draft Focus: Democratic Women Bundle Up and Smile",0.142857142857143
"175","2015-01-07","Front Page History: Teaching About Selma Using Original Times Reporting",0.111111111111111
"176","2015-01-08","6 Q's About the News | Terror Attack on Charlie Hebdo Newspaper in Paris Kills 12",-0.375
"177","2015-01-08","At Tomas Maier, a Vision of the Closet as Toolbox  ",0
"178","2015-01-08","Santander Finally Gets the Message on Capital",-0.2
"179","2015-01-08","Panthers Lineman to Miss Game Against Seahawks",0
"180","2015-01-08","Chita Rivera and Roger Rees to Star in 'The Visit' on Broadway",0
"181","2015-01-08","Charlie Hebdo Editor Made Provocation His Mission",-0.166666666666667
"182","2015-01-08","The Weekly Health Quiz",0.333333333333333
"183","2015-01-08","House Passes Bill to Alter Health Law's Workweek Provision",0.25
"184","2015-01-08","A Timeline of Threats and Acts of Violence Over Blasphemy and Insults to Islam ",-0.428571428571429
"185","2015-01-08","The New &lsquo;Obamacare&rsquo; Bill Would Hurt Workers and Increase the Deficit",-0.285714285714286
"186","2015-01-08","Inside Helmut Lang's New Art Show ",0
"187","2015-01-08","The Charlie Hebdo Massacre in Paris",-0.25
"188","2015-01-08","A Family Fractured by the Holocaust",-0.333333333333333
"189","2015-01-08","A Close Call on Publication of Charlie Hebdo Cartoons",0.166666666666667
"190","2015-01-08","Obama to Outline Proposals to Bolster a Lagging Housing Sector",0
"191","2015-01-08","Your Thursday Briefing",0
"192","2015-01-08","Challenging Corruption in the Niger Delta",-0.5
"193","2015-01-08","Is It Child Abuse to Make a Trans Child 'Change'? ",-0.166666666666667
"194","2015-01-08","Paris Terror Suspect Shown in 2005 Film",-0.4
"195","2015-01-08","Paid Notice: Deaths  RESTIVO, MARY ANN",-0.166666666666667
"196","2015-01-08","Lee Israel, a Writer Proudest of Her Literary Forgeries, Dies at 75",-0.142857142857143
"197","2015-01-08","Anatomy of a Scene | A Most Violent Year",-0.25
"198","2015-01-08","Samsung Predicts Big Drop in Its End-of-Year Quarter",-0.166666666666667
"199","2015-01-08","Car Bombing Kills Dozens at Yemeni Police Academy",-0.285714285714286
"200","2015-01-08","Black Holes Inch Ahead to Violent Cosmic Union",-0.285714285714286
"201","2015-01-09","Little Excitement at Garden, on the Court or Off ",0.5
"202","2015-01-09","Inside Charlie Hebdo After the Attack",-0.25
"203","2015-01-09","Placing Bets on How Many Takes Fincher Will Need",0
"204","2015-01-09","Paid Notice: Deaths  FURMAN, JAY",-0.2
"205","2015-01-09","Ireland's XL Group Agrees to Buy the Bermuda Insurer Catlin for $4.2 Billion",0.125
"206","2015-01-09","Gene-Modified Grass ",0
"207","2015-01-09","After the Terrorist Attack in Paris",-0.333333333333333
"208","2015-01-09","Michigan Hires Defensive Coordinator",0.25
"209","2015-01-09","What a Great Place to Work Ought to Look Like ",0.4
"210","2015-01-09","Sebastiaan Pieter's Latest Collection",0
"211","2015-01-09","Paid Notice: Deaths  FURMAN, JAY",-0.2
"212","2015-01-09","Merkel Sticks to Tough Line on Russia Sanctions ",-0.166666666666667
"213","2015-01-09","Retweet of the Week",0
"214","2015-01-09","Gun-Running in the Jet Age",0
"215","2015-01-09","Paid Notice: Deaths  FISHER, LESTER",-0.2
"216","2015-01-09","Joan Didion's Celine Ad, Cara's Side-Shave and So Much Bieber",0
"217","2015-01-09","Tracing a World Awash in Lies",-0.25
"218","2015-01-09","In Vermont, Election Is Held on Nov. 4, and Governor Is Chosen on Jan. 8 ",0.142857142857143
"219","2015-01-09","After Workout Accident, Reid Says Regaining Full Vision Is No Slam Dunk",-0.111111111111111
"220","2015-01-09","Ty Hensley, a Top Yankees Prospect, Is Left With Broken Jaw After Altercation",-0.125
"221","2015-01-09","Warming Up for Winter Jazzfest",0.333333333333333
"222","2015-01-09","Pictures of the Day: France and Elsewhere",0
"223","2015-01-09","Four at the Fore",0
"224","2015-01-09","Tour&eacute; Wins Honor for Fourth Time",0.2
"225","2015-01-09","Sri Lankan President Concedes Defeat After Startling Upset",-0.428571428571429
"226","2015-01-10","For the College Playoff, Super-Size Ads ",0
"227","2015-01-10","A License to Say Anything?",0
"228","2015-01-10","Paid Notice: Deaths  KASOWITZ, ROBERT",-0.2
"229","2015-01-10","Job Growth Looks Great; Wage Growth, Less So",0.142857142857143
"230","2015-01-10","Storm Adds to Misery of Gaza&#8217;s Most Vulnerable",-0.4
"231","2015-01-10","Getting Grief Right",-0.333333333333333
"232","2015-01-10","Teaching Islam&#8217;s &#8216;Forgotten&#8217; Side as Germany Changes",0
"233","2015-01-10","Signals Are Detected From AirAsia Jet&#8217;s Black Boxes",-0.166666666666667
"234","2015-01-10","Paid Notice: Memorials  MEISTER, BERT",0
"235","2015-01-10","Court Could Move Quickly on Israeli-Palestinian Case",0.2
"236","2015-01-10","Stuff We Liked: Happiness in America",0.5
"237","2015-01-10","Hooting, Hissing and Ululating to Protest Man&#8217;s Inhumanity ",-0.166666666666667
"238","2015-01-10","Chief Executive of Spectrum Brands Is to Step Down",-0.2
"239","2015-01-10","How to Stop Currency Manipulation",-0.333333333333333
"240","2015-01-10","Mitt Romney Says He's Considering a 2016 Presidential Run",0
"241","2015-01-10","1890: Canonization of Jeanne d'Arc",0
"242","2015-01-10","Paid Notice: Deaths  CUOMO, GOV",-0.2
"243","2015-01-10","Cocktails, Karaoke and Occasional Cringing ",-0.25
"244","2015-01-10","Users Say TurboTax Deluxe Is Less Deluxe Than It Used to Be ",0.142857142857143
"245","2015-01-10","Paid Notice: Deaths  SIRKMAN, SUSAN",-0.2
"246","2015-01-10","French Police Storm Hostage Sites, Killing Gunmen",-0.428571428571429
"247","2015-01-10","Paid Notice: Deaths  MOODY, NATALIE PARDO",-0.333333333333333
"248","2015-01-10","Truth and Myths About the Keystone Oil Pipeline ",0.2
"249","2015-01-10","Corrections: January 10, 2015",0.5
"250","2015-01-10","Chicago Man Is Indicted on Charge of Trying to Aid ISIS",-0.142857142857143
"251","2015-01-11","Seizing Assets in Crimea, From Shipyard to Film Studio",0
"252","2015-01-11","Ditmas Park for Front Porches",-0.25
"253","2015-01-11","Cambodia: 212 H.I.V. Cases Linked to Contamination",-0.2
"254","2015-01-11","Jacqueline Korenthal, Brian Swanson",0
"255","2015-01-11","Paid Notice: Deaths  REISMAN, KARL",-0.2
"256","2015-01-11","Paid Notice: Deaths  JARVIS, FREDERICK G.",-0.2
"257","2015-01-11","Two Ducks Are Out After Positive Drug Tests ",0.2
"258","2015-01-11","Is the War Crimes Court Still Relevant? ",0
"259","2015-01-11","Raise the Gas Tax to Fix America&#8217;s Roads",-0.5
"260","2015-01-11","For Jeb Bush, Evolving Views Over 2 Decades",-0.2
"261","2015-01-11","Dealing With Hyperactive Upstairs Neighbors ",0
"262","2015-01-11","Paid Notice: Deaths  BERKMAN, HERMAN G",-0.2
"263","2015-01-11","A Tradition of Ambition",0.5
"264","2015-01-11","Yale Topples Harvard (Again) in Matchup at Garden",-0.2
"265","2015-01-11","London Men's Fashion Week: Alexander McQueen Fall/Winter 2015",0.142857142857143
"266","2015-01-11","'The Good Wife' Recap: Never Mind Law, It's Politics!",0.428571428571429
"267","2015-01-11","In Jerry Jones, Dallas Cowboys Have a Lightning Rod Made of Mettle",0
"268","2015-01-11","Who Is Solving This Puzzle",0
"269","2015-01-11","Suddenly, BRIC Markets Are on a Shakier Foundation",0
"270","2015-01-11","Paid Notice: Deaths  MOFFAT, FRANCES SEIDEL",-0.166666666666667
"271","2015-01-11","Como enamorarse de cualquier persona, siguiendo estos pasos",0
"272","2015-01-11","Paid Notice: Deaths  POLAK, JACK",-0.2
"273","2015-01-11","Andra&eacute; Crouch, 72, Who Infused Gospel With Soul, Dies",-0.166666666666667
"274","2015-01-11","Paid Notice: Deaths  FURMAN, JAY",-0.2
"275","2015-01-11","<U+C9C8><U+BB38> 37: <U+ACB0><U+D63C><U+C2DD><U+C740> <U+AC70><U+CC3D><U+D558><U+AC8C> <U+D560> <U+AC74><U+AC00><U+C694>? <U+C544><U+B2C8><U+BA74> <U+C18C><U+BC15><U+D558><U+AC8C> <U+D560> <U+AC74><U+AC00><U+C694>?",0
"276","2015-01-12","Common and John Legend in Performance",0
"277","2015-01-12","Child With Symptoms? App Lets You Text Doctors, With No Guarantees",-0.142857142857143
"278","2015-01-12","6 Q's About the News | Golden Globes Strike a Serious Chord",0.166666666666667
"279","2015-01-12","Some New York Police Officers Were Quick to Resort to Chokeholds, Inspector General Finds",0
"280","2015-01-12","From the Upshot: Romney, Bush and Paul",0
"281","2015-01-12","New Golden Gate Bridge Barrier Draws Sighs of Relief",0.125
"282","2015-01-12","Lorrie Moore Among Finalists for Story Prize",0.166666666666667
"283","2015-01-12","Morning Agenda: Shire's Deal for NPS",0
"284","2015-01-12","Investors Put Their Hopes, and Money, in Modi",0.2
"285","2015-01-12","After Elections, Greece Will Be in Race Against Time",0
"286","2015-01-12","Tony Award for Teachers",0.333333333333333
"287","2015-01-12","N.B.A. Game of the Week: Wizards at Bulls",0.2
"288","2015-01-12","At the Golden Globes, Beauty Looks Got Matchy-Matchy",0.333333333333333
"289","2015-01-12","Military Consumer Loans ",0
"290","2015-01-12","What&#8217;s On TV Monday",0
"291","2015-01-12","Raining 3-Pointers, North Carolina State Hands Second-Ranked Duke Its First Loss ",0
"292","2015-01-12","Roche to Buy Majority Stake in Foundation Medicine, Leader in Tumor Testing",0.222222222222222
"293","2015-01-12","Reweaving a Tapestry From Charpentier&#8217;s Threads ",0
"294","2015-01-12","Falling Oil Prices Help Overhaul of a Hong Kong Empire",-0.125
"295","2015-01-12","Paid Notice: Memorials  HESTER, JAMES M.",0
"296","2015-01-12","Crouched Behind a Barricade, Until a Crude Stranger Barges In",-0.166666666666667
"297","2015-01-12","Golden Globes: Which Brand Won the Night?",0.2
"298","2015-01-12","Burberry's Fall 2015 Collection at London Men's Fashion Week",0
"299","2015-01-12","What the Globes Say About the Oscars (and 'Grand Budapest')",0.2
"300","2015-01-12","Three From The New Republic Join The Huffington Post",0.166666666666667
"301","2015-01-13","Paid Notice: Deaths  KENNEY, IRENE C",-0.2
"302","2015-01-13","Profit for Alcoa Exceeds Wall Street's Expectations",0.166666666666667
"303","2015-01-13","Paid Notice: Deaths  TALBOT, HOWARD F. OF JACKSON TWP.",-0.142857142857143
"304","2015-01-13","Libyan Militants Aligned With Islamic State Claim Kidnapping of 21 Egyptian Christians",0
"305","2015-01-13","Times Reporter Will Not Be Called to Testify in Leak Case",0.142857142857143
"306","2015-01-13","In China, Projects to Make Great Wall Feel Small ",0.142857142857143
"307","2015-01-13","Rivalry&#8217;s Edict: Drub Thy Neighbor ",-0.2
"308","2015-01-13","Eric Church, Ariana Grande and Madonna Among Grammy Performers",0.125
"309","2015-01-13","As Truck Sales Surge in U.S., Toyota and Nissan Unveil Upgrades",0.285714285714286
"310","2015-01-13","Oil Slides Again, Taking Shares on Wall Street Down With It",0.166666666666667
"311","2015-01-13","Women Run 30 Percent of All Businesses, but Only 5 Percent of the Biggest, Study Shows",-0.375
"312","2015-01-13","No, I Haven&rsquo;t Given Up on Anonymous Sources",0
"313","2015-01-13","IBM Introduces z13, a Mainframe for the Smartphone Economy",0
"314","2015-01-13","Standing Up for the Pen vs. the Sword in France",0.25
"315","2015-01-13","Charlie Hebdo's New Issue Features Muhammad on Cover",0
"316","2015-01-13","G.M. Reboots Chevrolet Volt as Automakers Push Electric Cars",-0.142857142857143
"317","2015-01-13","Maison Martin Margiela Changed Its Name, and No One Noticed",0
"318","2015-01-13","Pocket of Support for M.T.A. Budget",0.25
"319","2015-01-13","Interpol Calls for Arrest of Yanukovych and Other Former Ukrainian Officials",0.142857142857143
"320","2015-01-13","Ruben Ostlund's 'Involuntary,' 'Play' and 'The Guitar Mongoloid'",0
"321","2015-01-13","Paid Notice: Deaths  MICHELSON, GERTRUDE",-0.2
"322","2015-01-13","Paris Attacks Prompt Tougher Stance on Security in Britain",0.142857142857143
"323","2015-01-13","Your Letters: Cancer's Luck, Earth-Like Planets and Protecting Pedestrians",0.142857142857143
"324","2015-01-13","Doing More for Patients Often Does No Good  ",0.666666666666667
"325","2015-01-13","Yankees Hire Two Hitting Instructors and Reshuffle Some Coaches",0
"326","2015-01-14","Simple Stocks for Soup on the Fly",0
"327","2015-01-14","New Charlie Hebdo Cover Creates New Questions for U.S. News Media",0
"328","2015-01-14","Can Compression Clothing Enhance Your Workout?",0.2
"329","2015-01-14","Paid Notice: Deaths  WILSON, JANE",-0.2
"330","2015-01-14","What Extreme Sports Interest You Most?",0.333333333333333
"331","2015-01-14","Title Game Sets Ratings Record for Cable, but Not Over All ",0.166666666666667
"332","2015-01-14","Paid Notice: Deaths  LIEBERMAN, LEONARD",-0.2
"333","2015-01-14","Paid Notice: Deaths  BERGREEN, ADELE GABEL",-0.166666666666667
"334","2015-01-14","The Dawn Wall, Up Close",0.333333333333333
"335","2015-01-14","In New Congress, Wall St. Pushes to Undermine Dodd-Frank Reform",-0.285714285714286
"336","2015-01-14","Paid Notice: Deaths  LANGFORD, ANN THOMAS, ""A.T.",-0.166666666666667
"337","2015-01-14","Test Yourself | The Trouble With Autocorrect",-0.333333333333333
"338","2015-01-14","NBC Sports Will Present Boxing in Prime Time",0.142857142857143
"339","2015-01-14","Paid Notice: Deaths  GERAGHTY, JAMES J. JR.",-0.2
"340","2015-01-14","Years After Aurora Theater Rampage, Colorado Braces for the Trial",0
"341","2015-01-14","Rikers to Ban Isolation for Inmates 21 and Younger",-0.2
"342","2015-01-14","Emotion Mixes With Politics as 4 Killed at Paris Market Are Buried in Jerusalem ",-0.25
"343","2015-01-14","Exploring a New Role: Peacemaker in Afghanistan",0
"344","2015-01-14","Fort Fisher II: Fiasco",-0.333333333333333
"345","2015-01-14","Convergence in Two Global Economies",0
"346","2015-01-14","Below the Line: Designing 'The Imitation Game'",0.25
"347","2015-01-14","Songs of Experience and Songs of Affirmation ",0.5
"348","2015-01-14","Charlie Hebdo's Defiant Muhammad Cover Fuels Debate on Free Speech",-0.111111111111111
"349","2015-01-14","Newspaper in Israel Scrubs Women From a Photo of Paris Unity Rally ",0.25
"350","2015-01-14","Directors Guild Unveils Its Documentary Nominees",0
